"","x"
"2109",6434
"2110",63878
"2111",6441
"2112",6444
"2113",6447
"2114",6465
"2115",6469
"2116",64723
"2117",6472
"2118",6481
"2119",6486
"2120",6491
"2121",6489
"2122",6495
"2123",405217
"2124",55034
"2125",6501
"2126",6500
"2127",6506
"2128",6383
"2129",6522
"2130",6528
"2131",6526
"2132",6532
"2133",6530
"2134",55341
"2135",6537
"2136",6539
"2137",6541
"2138",6543
"2139",66572
"2140",6547
"2141",6555
"2142",6561
"2143",6560
"2144",6557
"2145",62384
"2146",405181
"2147",55941
"2148",62526
"2149",6573
"2150",6578
"2151",6577
"2152",6579
"2153",6583
"2154",64755
"2155",405201
"2156",63505
"2157",55717
"2158",6594
"2159",6592
"2160",58295
"2161",6598
"2162",6600
"2163",65334
"2164",66180
"2165",6604
"2166",6602
"2167",6603
"2168",55411
