"","yr","UTM_E_km","UTM_N_km","est"
"431",2003,458.022,5081.59,3.84041687382158
"432",2012,459.394,5080.953,1.3086827005092
"433",2010,461.962,5081.942,4.5401638768764
"434",2004,462.805,5082.333,2.71564710137091
"435",2003,463.565,5083.06,4.04028780777316
"436",2001,464.417,5084.285,3.87793424622003
"437",1998,464.809,5082.943,1.20677220291382
"438",2002,465.771,5082.643,3.72452999458592
"439",2007,467.197,5082.952,3.34632586038657
"440",2010,467.197,5082.952,4.25663375575974
"441",2010,467.719,5082.928,4.35977803435564
"442",2019,468.456,5082.93,3.19504630474939
"443",2004,468.189,5083.646,3.25272750590995
"444",1998,460.536,5087.425,0.98958274229588
"445",2001,460.536,5087.425,3.22009634926018
"446",2004,460.536,5087.425,3.26364955040397
"447",2001,459.45,5089.001,3.13802034451408
"448",2002,458.61,5089.732,3.60569278940528
"449",1998,460.749,5088.871,0.80948488657678
"450",2000,461.145,5089.458,2.9843240211726
"451",2003,461.145,5089.458,3.75291799348548
"452",2018,461.145,5089.458,1.74692377403292
"453",2001,461.179,5090.229,3.13657442592427
"454",2019,461.051,5089.945,2.84970943163764
"455",2005,462.29,5091.406,3.30669012864745
"456",2002,461.45,5094.364,3.16371405729511
"457",2011,461.45,5094.364,3.02249186905749
"458",2013,462.945,5092.922,1.9599042612573
"459",2004,463.848,5093.317,3.60566674201415
"460",2011,463.401,5092.958,3.60742540958803
"461",2012,463.002,5093.035,2.15582755024916
"462",2010,463.842,5095.049,4.1164384701125
"463",2002,461.587,5098.473,3.9362509615444
"464",2004,462.28,5098.77,3.83499744347946
"465",2002,461.583,5090.848,3.64104763712995
"466",2010,461.798,5090.535,4.11900727939133
"467",2002,461.248,5092.295,3.64172124017275
"468",2011,461.133,5092.872,3.51221875767182
"469",2011,460.275,5093.693,3.41868976936424
"470",2020,460.275,5093.693,2.70222859338507
"471",2000,459.902,5094.057,3.58780707485768
"472",2001,460.596,5096.453,3.07885314975
"473",2000,458.173,5085.705,3.37405691464778
"474",2011,459.074,5086.453,3.62103598318919
"475",2001,455.863,5089.4,3.38096102693492
"476",2004,455.863,5089.4,3.57833686092763
"477",2010,456.407,5090.574,4.01261026489825
"478",2010,456.36,5091.119,4.00024015273148
"479",2011,456.36,5091.119,3.67460622937624
"480",2012,456.36,5091.119,2.41269970949775
"481",2013,456.36,5091.119,2.01673655547296
"482",2015,456.36,5091.119,1.90176938590711
"483",2016,456.36,5091.119,2.02303579012709
"484",2017,456.36,5091.119,1.90155548205341
"485",2018,456.36,5091.119,1.89647575424637
"486",2019,456.36,5091.119,2.46754210877528
"487",2020,456.36,5091.119,2.81529092024351
"488",2000,464.095,5089.064,2.8454425306566
"489",2003,464.095,5089.064,3.6534301223482
"490",2012,464.095,5089.064,1.60480264910486
"491",1998,466.1,5090.439,0.937332477402711
"492",2002,466.024,5091.368,3.84270900213521
"493",2017,466.532,5094.77,1.73789523418586
"494",1999,466.421,5095.617,2.37509145668385
"495",2002,466.421,5095.617,3.69946295721046
"496",2005,466.421,5095.617,2.98079877273621
"497",2003,465.983,5097.238,3.97585498247388
"498",2005,466.079,5096.533,3.03819944878554
"499",1998,466.362,5094.914,1.20032177826694
"500",2001,466.362,5094.914,3.80332094605409
"501",2004,466.362,5094.914,3.72016821007946
"502",1998,464.763,5096.858,1.24036188640095
"503",1999,464.763,5096.858,2.48066801448596
"504",2000,464.851,5096.021,3.29920726865885
"505",2001,464.763,5096.858,3.76178706800426
"506",2002,464.763,5096.858,3.73824289419162
"507",2003,464.851,5096.021,4.02900406608106
"508",2004,464.763,5096.858,3.76954394894527
"509",2006,464.851,5096.021,3.202461326962
"510",2006,464.763,5096.858,3.28525383215753
"511",2018,469.309,5090.25,1.52264369546701
"512",1998,475.069,5088.405,0.67496840800244
"513",2019,475.684,5088.288,2.40022422809142
"514",1998,476.102,5086.306,0.709242433946617
"515",2004,476.102,5086.306,2.94529079374719
"516",2010,476.102,5086.306,3.52973064673905
"517",2019,476.102,5086.306,2.48063219149479
"518",1998,473.842,5083.373,0.460624095217859
