"","yr","UTM_E_km","UTM_N_km","est"
"461",2007,429.131,4889.946,6.11956352789877
"462",2008,429.131,4889.946,5.72484734361849
"463",2009,429.131,4889.946,6.26092161521757
"464",2010,429.131,4889.946,6.22257229381421
"465",2011,429.131,4889.946,6.14729475917
"466",2012,429.131,4889.946,6.29796365489624
"467",2013,429.131,4889.946,6.34129761777327
"468",2014,429.131,4889.946,5.93640492367642
"469",2019,428.919,4896.843,4.93475038376113
"470",2017,428.919,4896.843,4.95498822950792
"471",2018,428.919,4896.843,4.69665122061206
"472",2019,454.405,4861.318,4.80792536750333
"473",2015,454.405,4861.318,5.0345673717757
"474",2016,454.405,4861.318,4.71073976435212
"475",2017,454.405,4861.318,4.8985880166705
"476",2018,454.405,4861.318,4.63576643847116
"477",1998,454.405,4861.318,4.11624114952708
"478",2000,454.405,4861.318,4.91837781016223
"479",2001,454.405,4861.318,4.75086570621946
"480",2002,454.405,4861.318,5.02364961905023
"481",2003,454.405,4861.318,4.8653921269307
"482",2004,454.405,4861.318,5.00683334231102
"483",2005,454.405,4861.318,4.6139763941798
"484",2006,454.405,4861.318,5.06569477772069
"485",2007,454.405,4861.318,4.81859405874596
"486",2008,454.405,4861.318,4.31115269537109
"487",2009,454.405,4861.318,5.12983133711564
"488",2010,454.405,4861.318,4.85418774446868
"489",2011,454.405,4861.318,5.11300101500971
"490",2012,454.405,4861.318,4.9249562236532
"491",2013,454.405,4861.318,4.97516271787633
"492",2014,454.405,4861.318,4.65155735199617
"493",2019,471.58,4856.422,5.06582937013377
"494",2015,471.58,4856.422,5.29791835715687
"495",2016,471.58,4856.422,5.01958395834941
"496",2017,471.58,4856.422,5.09630340913658
"497",2018,471.58,4856.422,4.91009767434688
"498",2007,471.58,4856.422,5.28721527948999
"499",2008,471.58,4856.422,4.65377346072521
"500",2009,471.58,4856.422,5.51998943856971
"501",2010,471.58,4856.422,5.16078118713684
"502",2011,471.58,4856.422,5.4658088247281
"503",2012,471.58,4856.422,5.23245988028299
"504",2013,471.58,4856.422,5.26906233002239
"505",2014,471.58,4856.422,4.98239824112105
